| Run | StRecall@10 | @20 | alpha_nDCG@10 | @20 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.txt | 0.6963 | 0.7802 | 0.5642 | 0.5958 |
| Run | StRecall@10 | @20 | alpha_nDCG@10 | @20 |
|---|---|---|---|---|
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.2.lambda-0.5.txt | 0.7009 | 0.7734 | 0.6114 | 0.6315 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.2.lambda-0.6.txt | 0.7048 | 0.7717 | 0.6031 | 0.6207 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.2.lambda-0.7.txt | 0.7049 | 0.7732 | 0.5859 | 0.6049 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.3.lambda-0.5.txt | 0.7026 | 0.7748 | 0.6130 | 0.6316 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.3.lambda-0.6.txt | 0.7048 | 0.7716 | 0.6034 | 0.6199 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.3.lambda-0.7.txt | 0.7033 | 0.7717 | 0.5833 | 0.6031 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.4.lambda-0.5.txt | 0.7161 | 0.7748 | 0.6160 | 0.6312 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.4.lambda-0.6.txt | 0.7129 | 0.7717 | 0.6056 | 0.6194 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.4.lambda-0.7.txt | 0.7048 | 0.7700 | 0.5838 | 0.6027 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.5.lambda-0.5.txt | 0.7214 | 0.7715 | 0.6183 | 0.6297 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.5.lambda-0.6.txt | 0.7129 | 0.7700 | 0.6045 | 0.6182 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.5.lambda-0.7.txt | 0.7088 | 0.7700 | 0.5845 | 0.6022 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.6.lambda-0.5.txt | 0.7214 | 0.7715 | 0.6153 | 0.6272 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.6.lambda-0.6.txt | 0.7094 | 0.7700 | 0.6035 | 0.6184 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.6.lambda-0.7.txt | 0.7073 | 0.7700 | 0.5841 | 0.6022 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.7.lambda-0.5.txt | 0.7214 | 0.7715 | 0.6153 | 0.6273 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.7.lambda-0.6.txt | 0.7062 | 0.7700 | 0.6022 | 0.6180 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.7.lambda-0.7.txt | 0.6999 | 0.7700 | 0.5807 | 0.6015 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.2.lambda-0.5.txt | 0.6924 | 0.7793 | 0.5937 | 0.6213 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.2.lambda-0.6.txt | 0.6918 | 0.7777 | 0.5978 | 0.6226 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.2.lambda-0.7.txt | 0.6873 | 0.7761 | 0.5928 | 0.6171 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.3.lambda-0.5.txt | 0.6943 | 0.7793 | 0.5930 | 0.6184 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.3.lambda-0.6.txt | 0.6859 | 0.7776 | 0.5936 | 0.6193 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.3.lambda-0.7.txt | 0.6826 | 0.7717 | 0.5906 | 0.6150 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.4.lambda-0.5.txt | 0.6938 | 0.7732 | 0.5929 | 0.6142 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.4.lambda-0.6.txt | 0.6935 | 0.7732 | 0.5953 | 0.6176 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.4.lambda-0.7.txt | 0.6843 | 0.7732 | 0.5898 | 0.6141 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.5.lambda-0.5.txt | 0.7104 | 0.7732 | 0.5990 | 0.6168 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.5.lambda-0.6.txt | 0.6894 | 0.7732 | 0.5942 | 0.6169 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.5.lambda-0.7.txt | 0.6843 | 0.7700 | 0.5891 | 0.6121 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.6.lambda-0.5.txt | 0.6922 | 0.7716 | 0.5928 | 0.6139 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.6.lambda-0.6.txt | 0.6831 | 0.7732 | 0.5910 | 0.6171 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.6.lambda-0.7.txt | 0.6820 | 0.7700 | 0.5864 | 0.6113 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.7.lambda-0.5.txt | 0.6890 | 0.7716 | 0.5908 | 0.6142 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.7.lambda-0.6.txt | 0.6807 | 0.7715 | 0.5891 | 0.6157 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.7.lambda-0.7.txt | 0.6803 | 0.7700 | 0.5838 | 0.6106 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.2.lambda-0.5.txt | 0.7182 | 0.7808 | 0.6203 | 0.6374 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.2.lambda-0.6.txt | 0.7205 | 0.7808 | 0.6098 | 0.6268 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.2.lambda-0.7.txt | 0.7079 | 0.7808 | 0.5895 | 0.6125 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.3.lambda-0.5.txt | 0.7125 | 0.7808 | 0.6188 | 0.6367 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.3.lambda-0.6.txt | 0.7238 | 0.7808 | 0.6100 | 0.6259 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.3.lambda-0.7.txt | 0.7077 | 0.7776 | 0.5892 | 0.6102 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.4.lambda-0.5.txt | 0.7110 | 0.7808 | 0.6190 | 0.6370 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.4.lambda-0.6.txt | 0.7159 | 0.7776 | 0.6058 | 0.6206 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.4.lambda-0.7.txt | 0.6942 | 0.7776 | 0.5848 | 0.6095 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.5.lambda-0.5.txt | 0.7184 | 0.7791 | 0.6219 | 0.6351 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.5.lambda-0.6.txt | 0.7141 | 0.7776 | 0.6051 | 0.6213 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.5.lambda-0.7.txt | 0.6943 | 0.7717 | 0.5850 | 0.6086 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.6.lambda-0.5.txt | 0.7133 | 0.7805 | 0.6185 | 0.6343 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.6.lambda-0.6.txt | 0.7100 | 0.7791 | 0.6041 | 0.6209 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.6.lambda-0.7.txt | 0.6943 | 0.7717 | 0.5843 | 0.6083 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.7.lambda-0.5.txt | 0.7118 | 0.7805 | 0.6177 | 0.6343 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.7.lambda-0.6.txt | 0.7085 | 0.7791 | 0.6025 | 0.6205 |
| run.ragtime1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k75-binary.alpha-0.7.lambda-0.7.txt | 0.6967 | 0.7700 | 0.5838 | 0.6074 |
